Nit|GESTOR|N°|COD. SUC|DEPARTAMENTO|CIUDAD / MUNICIPIO|"TIPOLOGIA (PROPIA/ALIADA)"|DANE|NOMBRE DE LA FARMACIA|DIRECCIÓN DE CONTACTO|TIPO DE ATENCIÓN FISICO/DOMICILIO|CANAL DOMICILIO|TELÉFONO DE CONTACTO|HORARIO ATENCIÓN|DISPENSACIÓN DE MEDICAMENTOS REFRIGERADOS (S/N)|DISPENSACIÓN DE MEDICAMENTOS DE CONTROL ESPECIAL (S/N)|DISPENSACIÓN DE MEDICAMENTOS ALTO COSTO (S/N)|TUTELA (S/N)|NO PBS|PBS|COBERTURA|PLAN PREMIUM|ATENCION 24 HORAS (S/N)|DOMINGOS/ FESTIVOS(S/N)|NOVEDADES EN PUNTOS|LATITUD|LONGITUD|CAJAS
828002423|DISCOLMETS|14|41020_14|HUILA|ALGECIRAS|PROPIA|41020|DISPENSARIO INSUMEDIC COTA|CALLE 11#1 - 00 LOCAL002 PUEBLO VIEJO|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 5:00pm / Sábado: 8:00am 12:00pm.|SI|NO|NO|SI|NO|SI|PBS|SI|NO|SI|CENTRO POBLADO|SD|SD|
828002423|DISCOLMETS|16|41026_16|HUILA|ALTAMIRA|ALIADA|41026|DROGUERIA CAÑAHUATE FUNZA|Calle 11 No 15 91 Barrio Chaguya|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 5:00pm /Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||7.9833° N|72.6333° O|
900994906|HUMSALUD|17|27025_17|CHOCÓ|ALTO BAUDÓ|ALIADA|27025|DROGUERÍA JHBB|CALLE 5 # 3 51 CENTRO|PUNTO FÍSICO|NO APLICA|6046713652|Lunes a Viernes 7:00 am 5:00 pm Sábados: 7:00am 1:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||7.8333° N|72.8333° O|1
900331412|GENHOSPI|18|52036_18|NARIÑO|ANCUYA|PROPIA|52036|DISPENSARIO INSUMEDIC GRANADA|CARRERA 13 # 9 46 BARRIO EL PROGESO|PUNTO FÍSICO|NO APLICA|6027316719|Lunes a viernes: 8:00 12am 2 pm 6:00pm y Sabados: 8 12 m|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||7.8333° N|72.8333° O|1
828002423|DISCOLMETS|19|15047_19|BOYACÁ|AQUITANIA|ALIADA|15047|DISPENSARIO INSUMEDIC GUAYABAL DE SIQUIMA|Carrera 4 # 1 73 Guayabal de Siquima|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 12:00pm y 2:00pm 5:00pm /Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.8939° N|72.5078° O|
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|20|81001_20|ARAUCA|ARAUCA|PROPIA|81001|DISPENSARIO INSUMEDIC GUTIÉRREZ|Calle 5 # 5 07 Gutierrez|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.8939° N|72.5078° O|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|21|81001_21|ARAUCA|ARAUCA|PROPIA|81001|DISPENSARIO INSUMEDIC JUNÍN|CARRERA 5 # 2 33|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||7.8939° N|72.5078° O|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|22|81001_22|ARAUCA|ARAUCA|PROPIA|81001|DISPENSARIO INSUMEDIC LA PEÑA|Carrera 3 # 5 35 La Peña|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|SI|SI|SI|SI|NO|NO PBS|NO|NO|NO||7.3333° N|72.5000° O|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|22|81001_22|ARAUCA|ARAUCA|PROPIA|81001|FARMACIA DE APOYO RED MYT ARAUCA GUERREROS|Calle 15 # 15- 49 (Frente Hospital San Vicente)|PUNTO FÍSICO|NO APLICA|3102413674|Lunes a Viernes 7 am a 12 am - 2 pm a 6 pm Sábados 8 a 11 am|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||SD|SD|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|23|81001_23|ARAUCA|ARAUCA|ALIADA|81001|DISPENSARIO INSUMEDIC SAS|Calle 9 B # 6 39 Barrio Cedritos|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|NO|NO|NO|NO|SI|PBS|NO|NO|NO||7.5000° N|72.5000° O|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|24|81001_24|ARAUCA|ARAUCA|ALIADA|81001|DROGUERIA CAÑAHUATE MOSQUERA|Carrera 2 este No 3 60 local 2 B. Cartagenita|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|NO|NO|NO|NO|SI|PBS|NO|NO|NO||7.3333° N|72.5000° O|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|25|81065_25|ARAUCA|ARAUQUITA|PROPIA|81065|DROGUERIA OLMALU|CARRERA 4 # 2 75|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.3333° N|72.5000° O|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|26|81065_26|ARAUCA|ARAUQUITA|ALIADA|81065|DISPENSARIO INSUMEDIC NIMAIMA|CALLE 4 # 5 15 BARRIO CHICO BAJO|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.8333° N|72.8333° O|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|27|81065_27|ARAUCA|ARAUQUITA|ALIADA|81065|DROGUERIA POPULAR|CALLE 2 # 8 51 BARRIO CENTRO|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|NO|NO|NO|SI|SI|PBS Y NO PBS|NO|NO|NO||8.2333° N|73.2500° O|0
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|28|81065_28|ARAUCA|ARAUQUITA|ALIADA|81065|DROGUERÍA Y FARMACIA JM|Carrera 3 # 3 65 Quebradanegra|PUNTO FÍSICO|NO APLICA|3204912893|Lunes a Viernes 7 am a 12 am y 2 pm a 6 pm Sabado 8 a 11 am|SI|NO|NO|NO|SI|SI|PBS Y NO PBS|NO|NO|NO||7.3833° N|72.6167° O|1
900331412|GENHOSPI|29|52051_29|NARIÑO|ARBOLEDA|ALIADA|52051|DISPENSARIO INSUMEDIC SAS|Carrera 3 # 5 02|PUNTO FÍSICO|NO APLICA|6027316719|Lunes a viernes: 8:00 12am 2 pm 6:00pm y Sabados: 8 12 m|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||7.8333° N|72.8333° O|1
900249425|PHARMASAN|30|54051_30|NORTE DE SANTANDER|ARBOLEDAS|ALIADA|54051|DISPENSARIO INSUMEDIC TIBACUY|Calle 5 # 4 56 Tibacuy|PUNTO FÍSICO|NO APLICA|18000423739|Lunes a Viernes 7:30 am a 12:00 pm // 2:00 pm a 6:00 pm Descansa los lunes|SI|NO|NO|NO|NO|SI|PBS|NO|NO|NO||7.8333° N|72.8333° O|1
828002423|DISCOLMETS|31|15051_31|BOYACÁ|ARCABUCO|ALIADA|15051|DROGUERIA CAÑAHUATE TOCANCIPÁ|Carrera 4 No 13 146 Barrio Los cerezos|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 12:00pm y 2:00pm 5:00pm /Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||7.8333° N|72.8333° O|
800149695|CRUZ VERDE|38|73067_38|TOLIMA|ATACO|ALIADA|73067|MEDISFARMA ATACO.|calle 7 # 5 44 barrio centro|PUNTO FÍSICO|NO APLICA|18000910545|LUNES A VIERNES 7:00 AM a 5:00 PM SABADOS 7:00 AM 12:00 PM DOMIGOS Y FESTIVOS NO HAY SERVICIOS|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||6.5000° N|73.0000° O|1
900994906|HUMSALUD|39|27050_39|CHOCÓ|YUTO|PROPIA|27050|DROGUERÍA HUMSALUD|Barrio Carretera / Diagonal a la alcaldia municipal|PUNTO FÍSICO|NO APLICA|6044310294 /3186815400|Lunes a Viernes 7:00 am 5:00 pm Sábados: 7:00am 1:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||6.5000° N|73.0000° O|1
800149695|CRUZ VERDE|40|08078_40|ATLANTICO|BARANOA|ALIADA|8078|DISPENSARIO 5026|Calle 19 # 22 06|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am 5:00 pm. sábado 7:00 am a 1:00 pm. Domingos y festivos|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||6.5000° N|73.0000° O|1
828002423|DISCOLMETS|41|41078_41|HUILA|BARAYA|ALIADA|41078|DROGUERIA ANDREA|Calle 2C # 5 03 Barrio Centro|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 5:00pm /Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||6.5000° N|73.0000° O|2
900249425|PHARMASAN|42|68077_42|SANTANDER|BARBOSA|PROPIA|68077|PHARMASAN BARBOSA|Calle 17 # 8 64 Barrio Santa Fe|PUNTO FÍSICO|NO APLICA|18000423739|Lunes a Viernes 07:00AM A 12:00PM 2:00 A 05:00PM|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||6.5000° N|73.0000° O|1
900249425|PHARMASAN|43|68081_43|SANTANDER|BARRANCABERMEJA|PROPIA|68081|PHARMASAN BARRANCABERMEJA|Calle 49 # 19 82 Local 1 Barrio Colombia|PUNTO FÍSICO|NO APLICA|18000423739|Lunes a Viernes 7:00 am a 5:00 pm // Sabado 8:00 am a 12:00 m|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||7.0833° N|73.5000° O|1
802000608|SUMINISTROS Y DOTACIONES|44|44078_44|LA GUAJIRA|BARRANCAS|PROPIA|44078|SUMINISTROS Y DOTACIONES|CALLE 11 # 9 65 Local 4|PUNTO FÍSICO|NO APLICA|6053302424|Lunes a Viernes 8:00am 12:00pm / 2:00pm 5:00pm Sabados 8:00am 12:00pm|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||6.5000° N|73.0000° O|1
816001182|AUDIFARMA|45|8001_45|ATLANTICO|BARRANQUILLA|PROPIA|8001|CAF ALKARAWI|CALLE 90 # 50 127 PRIMER PISO LOCAL 13 BARRIO ALTAMIRA C.C. ALKARAWI|PUNTO FÍSICO|NO APLICA|18000112554|LUNES VIERNES: 7:00 AM 7:00 PM SÁBADO: 7:00 AM 3:00 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|NO||6.5000° N|73.0000° O|1
800149695|CRUZ VERDE|46|08001_46|ATLANTICO|BARRANQUILLA|PROPIA|8001|CRUZ VERDE PRADO 74|Calle 74 # 55 70|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 7:00 pm /Sábados 7:00 am a 2:00 pm|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||6.5000° N|73.0000° O|1
800149695|CRUZ VERDE|47|08001_47|ATLANTICO|BARRANQUILLA|PROPIA|8001|CRUZ VERDE CALLE 45 BARRANQUILLA|Calle 45# 20 16|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Viernes 7:00 am a 7:00 pm / Sábado 7:00 am a 6:00 pm|NO|NO|NO|SI|NO|SI|PBS|NO|NO|NO||6.5000° N|73.0000° O|1
800149695|CRUZ VERDE|48|08001_48|ATLANTICO|BARRANQUILLA|PROPIA|8001|CRUZ VERDE CALLE 84|Calle 84 # 50 – 36 Local 2 – 3|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Sábados: 7:30 am a 10:00 pm / Domingo y Festivos 8:00 am a 10:00 pm|SI|SI|NO|NO|NO|SI|PBS|NO|NO|SI||6.5000° N|73.0000° O|1
800149695|CRUZ VERDE|49|08001_49|ATLANTICO|BARRANQUILLA|PROPIA|8001|CRUZ VERDE CALLE 82|Calle 82 # 50 50 Local 2|PUNTO FÍSICO|NO APLICA|18000910545|24 Horas|SI|SI|SI|NO|NO|SI|PBS|SI|SI|SI||6.5000° N|73.0000° O|1
800149695|CRUZ VERDE|50|08001_50|ATLANTICO|BARRANQUILLA|PROPIA|8001|CRUZ VERDE IBEROAMÉRICA|Calle 85 # 49 C 56|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Viernes 7:00 am a 7:00 pm /Sábado 7:00 am a 5:00 pm /Domingo y Festivos 9:00 am a 2:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||6.5000° N|73.0000° O|1
800149695|CRUZ VERDE|51|08001_51|ATLANTICO|BARRANQUILLA|PROPIA|8001|CRUZ VERDE CALLE 86|Carrera 49 C # 86 39|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 6:00 am a 8:30 pm/ Sabados 6:00 am a 7:00 pm. Domingos y Festivos 9:00 am a 5:00 pm.|SI|NO|SI|NO|NO|SI|PBS|NO|NO|SI||6.5000° N|73.0000° O|1
802000608|SUMINISTROS Y DOTACIONES|52|20045_52|CESAR|BECERRIL|ALIADA|20045|ETICOS SERRANO GOMEZ LTDA|CALLE 9 # 3 88 ESQUINA|PUNTO FÍSICO|NO APLICA|6053302424|LUNES A VIERNES 7:30 AM 6:00 PM SABADOS 8:00 A.M 3:00 PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||6.5000° N|73.0000° O|1
900331412|GENHOSPI|53|52083_53|NARIÑO|BELÉN|ALIADA|52083|DROGUERIA FAMILIAR AV|CALLE 3 NRO. 2 21 BARRIO BOLIVAR|PUNTO FÍSICO|NO APLICA|6027316719|Lunes a viernes: 8:00am 6:00pm. Sabados: 8 12 m|NO|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||6.5000° N|73.0000° O|1
800149695|CRUZ VERDE|54|18094_54|CAQUETÁ|BELÉN DE LOS ANDAQUIES|ALIADA|18094|IPS MUTUAL BELEN DE LAS ANDAQUIES|Carrera 6 # 5 20 Barrio cincuentenario|PUNTO FÍSICO|NO APLICA|18000910545|LUNES A VIERNES (7:00am A 5:00pm) SABADO (8:00am A 11:00am)|SI|NO|NO|NO|NO|SI|PBS|NO|NO|NO||6.5000° N|73.0000° O|1
890985122|COHAN|55|5088_55|ANTIOQUIA|BELLO|PROPIA|5088|SF COHAN BELLO|Cll 49 # 47 11|PUNTO FÍSICO|NO APLICA|6043228582|Lunes a Viernes 7:00 AM A 6:00 PM S 8:00 AM A 12:00 M|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||6.5000° N|73.0000° O|1
900249425|PHARMASAN|58|68092_58|SANTANDER|BETULIA|ALIADA|68092|DROGUERIA BETUDROGAS|Carrera 6a # 6a 15 sagrado corazon|PUNTO FÍSICO|NO APLICA|18000423739|Lunes a Viernes 7:00 am a 5:00 pm // S 8:00 am a 12:00 m|SI|NO|SI|NO|SI|SI|PBS Y NO PBS|NO|NO|NO||7.1525° N|73.0283° W|1
900716566|INSUMEDIC|59|25095_59|CUNDINAMARCA|BITUIMA|PROPIA|25095|DISPENSARIO INSUMEDIC|CALLE 4 # 1 45 BARRIO CENTRO|PUNTO FÍSICO|NO APLICA|3212341969|Lunes a Viernes: 8:00am 5:00pm. Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||7.2682° N|72.8790° W|1
900249425|PHARMASAN|60|54099_60|NORTE DE SANTANDER|BOCHALEMA|PROPIA|54099|PHARMASAN BOCHALEMA|Calle 2 # 1AN 43 Barrio San Bartolome|PUNTO FÍSICO|NO APLICA|3125895108|Lunes a Viernes 7:00 am a 5:00 pm // S 8:00 am a 12:00 pm|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.3781° N|72.8004° W|0
816001182|AUDIFARMA|61|11001_61|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CAF BULEVAR|CALLE 161 # 19A 63|PUNTO FÍSICO|NO APLICA|18000112554|24 HORAS|SI|NO|NO|SI|SI|NO|NO PBS|NO|SI|SI||7.2223° N|72.6785° W|1
816001182|AUDIFARMA|62|11001_62|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CAF POLICLINICO|CRA 19C # 25 14 SUR OLAYA|PUNTO FÍSICO|NO APLICA|18000112554|LUNES VIERNES: 6:30 AM 6:00 PMSÁBADO: 7:00 AM 1:00 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|NO||8.2202° N|73.0461° W|1
816001182|AUDIFARMA|63|11001_63|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CAF VALENCIA|CARRERA 22 # 17 58 SUR|PUNTO FÍSICO|NO APLICA|18000112554|LUNES VIERNES: 06:30 AM 7:00 PMSÁBADO: 7:00 AM 6:00 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|NO||8.0142° N|73.0897° W|3
816001182|AUDIFARMA|64|11001_64|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CAF TOBERIN|CR 21 # 166 06 LOCAL 1|PUNTO FÍSICO|NO APLICA|18000112554|LUNES VIERNES: 6:30 AM 6:00 PMSÁBADO: 7:00 AM 12:30 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|NO||8.0413° N|73.2363° W|2
816001182|AUDIFARMA|65|11001_65|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CAF SAN LUCAS|Cl 35a sur #78 58|PUNTO FÍSICO|NO APLICA|18000112554|LUNES VIERNES: 7:00 AM 7:00 PMSÁBADO: 7:00 AM 1:00 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|NO||7.1975° N|72.5291° W|3
800149695|CRUZ VERDE|66|11001_66|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CHICÓ|Carrera 15 # 95 84|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 8:00 pm /Sábados 7:00 am a 6:00 pm /Domingos y festivos 9:00 am a 5:00 pm|SI|SI|SI|SI|NO|SI|PBS|SI|NO|SI||7.2731° N|72.9536° W|3
800149695|CRUZ VERDE|67|11001_67|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE BELMIRA|Calle 140 # 7 B 23 Local 102|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 9:00 pm / Domingos y festivos 9:00 am a 7:00 pm|SI|SI|NO|NO|NO|SI|PBS|SI|NO|SI||7.2224° N|72.8125° W|1
800149695|CRUZ VERDE|68|11001_68|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE PONTEVEDRA|Calle 116 # 71B 04|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 7:00 pm / Sábados 7:00 am a 2:00 pm|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||7.2086° N|73.0965° W|3
800149695|CRUZ VERDE|69|11001_69|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CENTUM CALLE 100|Calle 100 # 49 25|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 8:00 pm / Sábados 8:00 am a 8:00 pm /Domingos y festivos 9:00 am a 5:00 pm|SI|NO|SI|NO|NO|SI|PBS|NO|NO|SI||7.1950° N|73.0930° W|1
800149695|CRUZ VERDE|70|11001_70|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CALLE 40|Carrera 13 No. 40b 74 Lc 3|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábado 6:00 am a 7:00 pm / Domingos y festivos 9:00 am a 6:00 pm|SI|SI|SI|NO|NO|SI|PBS|SI|NO|SI||7.1297° N|73.0902° W|2
800149695|CRUZ VERDE|71|11001_71|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE SALITRE|Calle 23B # 66 46 Edificio de Consultorios Clínica Colombia|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábado 6:00 am a 7:00 pm / Domingos y festivos 9:00 am a 6:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|SI|SI||6.7174° N|73.0615° W|3
800149695|CRUZ VERDE|72|11001_72|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE ECOTOWER NAVARRA|Calle 100 # 23 10|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 7:00 pm /Sábados 8:00 am a 7:00 pm|SI|SI|SI|NO|NO|SI|PBS|SI|NO|NO||6.7860° N|72.8363° W|1
